source	target	n_targets	target_is_TF
NFATC3	IRF4	6048	1
NFATC3	MAF	6048	1
NFATC3	ELK1	6048	1
NFATC3	NFKB1	6048	1
NFATC3	USF2	6048	1
NFATC3	MYB	6048	1
NFATC3	GATA3	6048	1
NFATC3	COPEB	6048	1
NFATC3	STAT3	6048	1
STAT3	STAT3	1462	1
STAT3	MYB	1462	1
IRF4	NFKB1	2171	1
IRF4	MYB	2171	1
IRF4	STAT3	2171	1
JUN	NFKB1	3516	1
JUN	COPEB	3516	1
JUN	NFATC3	3516	1
JUN	STAT3	3516	1
JUN	IRF4	3516	1
USF2	NFKB1	2879	1
USF2	COPEB	2879	1
USF2	JUN	2879	1
USF2	IRF4	2879	1
COPEB	MAF	5082	1
COPEB	STAT3	5082	1
COPEB	NFKB1	5082	1
COPEB	COPEB	5082	1
COPEB	MYB	5082	1
COPEB	GATA3	5082	1
COPEB	IRF4	5082	1
COPEB	NFATC3	5082	1
ELK1	MAF	1912	1
ELK1	NFKB1	1912	1
ELK1	JUN	1912	1
ELK1	MYB	1912	1
MAF	IRF4	308	1
NFKB1	IRF4	1760	1
RELA	GATA3	1365	1
RELA	MAF	1365	1
MYB	ELK1	2682	1
MYB	NFKB1	2682	1
MYB	COPEB	2682	1
MYB	NFATC3	2682	1
MYB	STAT3	2682	1
MYB	MYB	2682	1
MYB	IRF4	2682	1
GATA3	NFKB1	2639	1
GATA3	COPEB	2639	1
GATA3	NFATC3	2639	1
GATA3	MYB	2639	1
GATA3	STAT3	2639	1
