source	t0	t1	t2	t3	t4	t5
1	0.4934254025	0.1821711369	0.1882850405	0.2921202414	0.2478222603	0.1781113149
9	0.0177866362	0.0551109804	0.0830097121	0.1233546737	0.1086948172	0.1111550081
14	0.4126121152	0.714512336	0.8912119648	0.5665890213	0.478581961	0.5043415942
15	0.0015544959	0.0027852007	0.0017863346	0.00222317	0.0091893031	0.0045974796
16	0.0776457859	0.3012091357	0.4786940143	0.6454571141	0.4598536098	0.329930011
18	0.0131557958	0.0069632949	0.0099758373	0.0150465712	0.0134243509	0.013355596
21	0.0517410345	0.0055900369	0.0213364381	0.0344661266	0.0494726277	0.0673994552
22	0.3400202605	0.3262241297	0.3545486691	0.7503575316	1.0262573748	0.5564247683
23	0.599017503	2.3539331341	1.830101332	0.9064861479	0.8099425825	0.9910012752
25	0.0663786695	0.0336307456	0.0320780528	0.0218651301	0.0352983667	0.032710745
27	0.0185527394	0.02830225	0.0107031179	0.0078538901	0.005440765	0.0058517059
29	0.1473523007	0.0464801668	0.0778865112	0.081736239	0.106828869	0.1253249437
30	1.448711172	0.5564956596	0.9366362708	1.0508138905	1.0852576924	1.3396438318
34	0.0864509089	0.0976343212	0.2867619342	0.3125057083	0.3570394143	0.3406499831
35	0.0283955217	0.0103667152	0.029034994	0.0421744713	0.0454551534	0.0348961754
36	0.1417771339	0.0351120711	0.0986404341	0.0849726031	0.0982358545	0.0769885441
37	2.8606462655	0.8157229559	1.3571700007	3.996846508	6.8286021243	6.3495645172
38	0.0999254078	0.1666335007	0.3691173428	0.4425495287	0.3313761056	0.4177057282
39	0.3713214669	0.3560028242	1.2318607398	1.9441492524	2.0116944033	2.1452369577
41	0.0146165425	0.0099665327	0.0477764333	0.0605959532	0.1303801065	0.1236978774
48	0.0140948895	0.0180777712	0.048501426	0.0811682272	0.0710924064	0.1043668394
50	1.1180721023	1.3396283139	1.8660639951	1.6160241964	1.5677036513	1.8779952603
51	0.1611091397	0.0822841662	0.1400631574	0.0775465211	0.0788758458	0.1083828326
52	0.1483514601	0.2004071115	0.1202190497	0.1161800278	0.1418086971	0.1745536788
53	0.0120338818	0.0256574649	0.0284085825	0.0099680369	0.0126555603	0.0133191058
54	1.1317332582	0.1217103977	0.2595728263	0.8664651305	2.2505488114	2.08713843
60	16.7166438797	18.1589693476	16.7153361494	18.153676926	20.5604777492	22.551927294
70	0.0012525402	0.0011855015	0.0009514943	0.0009750437	0.0009939794	0.0009838466
71	7.2588208757	8.8524343403	13.6079323706	13.2132356017	14.6172393207	23.2099778493
72	0.0015783761	0.0039594144	0.0034082937	0.0070283107	0.0113348403	0.0086597131
81	0.0910528943	0.0870305728	0.1786632855	0.2121107992	0.2206386457	0.3293963038
86	0.4719248981	0.9991336581	1.3652952001	1.2932692148	1.0661400171	1.2240491924
87	2.0599147142	0.8164567733	0.644217078	0.8151095982	0.7236859482	0.969331702
90	0.0594458967	0.0309687947	0.0771219732	0.0729711384	0.0719491427	0.0765706121
91	0.004058523	0.006628982	0.0026747772	0.0011624252	0.001450829	0.001149403
93	0.0471742676	0.0324037119	0.0270353524	0.0174842405	0.0314347936	0.017930618
95	0.190116098	0.265642902	0.9579226461	0.9386771382	0.6523297741	0.6980097876
97	0.7149941317	0.1146540918	0.7382470206	0.849804644	1.3046445619	1.2498482041
98	0.1537474396	0.0772343835	0.0808319368	0.0775633296	0.0836401575	0.0715143415
100	1.7041449254	0.2848850467	0.5738693038	0.9165611115	0.7538271801	0.850403742
101	3.3282073228	1.0662288048	0.9143495147	3.2895851009	6.1185797876	4.9728308571
102	0.0617177976	0.0187252437	0.0296517311	0.0518266865	0.0592603768	0.0607188982
103	3.7601011982	4.7674274767	2.5304581515	4.4561957835	4.1900793047	3.5643760576
104	0.1138868612	0.1793937128	0.0958763423	0.082588256	0.0703110828	0.0610463185
109	0.451549851	0.2181632088	0.8299259994	0.7440397136	1.1318752828	1.2399489356
113	0.4053148219	0.0231797716	0.1018404023	0.1156401581	0.1621648609	0.133244463
115	0.0243573165	0.0104149101	0.0174922786	0.0143977548	0.0245641134	0.0256423328
118	0.2467756559	0.0747400907	0.1135739116	0.1246507406	0.0903820386	0.0785687731
119	0.0062001072	0.0083944404	0.0218579729	0.0218075057	0.03163874	0.0191360815
120	4.9554254429	0.482564069	0.2710453747	0.6074504655	0.8571512588	0.6723492619
123	0.1842758862	0.0621153168	0.1439148056	0.5101566469	1.1319417698	0.4741194919
128	0.1182832699	0.0492584029	0.1073373056	0.0771965708	0.1154784216	0.1044073041
132	0.1592556735	0.1491806048	0.5090095647	0.6307225925	0.6487440827	0.7264299793
135	0.0184963437	0.0125581878	0.0420223234	0.0271717517	0.0306415277	0.0130298033
142	0.6598038259	0.9332859221	1.8436572537	1.4222578019	1.1789976273	1.4391584992
143	0.0216611912	0.0048756698	0.0043558504	0.0086813413	0.0271072815	0.0349830784
146	0.0044797148	0.0020263172	0.0020583753	0.0021341768	0.0013873163	0.0010878523
154	0.0154426109	0.0036983439	0.001447421	0.0077365285	0.0031925534	0.0020168107
156	3.5128880642	0.5716505385	1.6390889975	2.1627719119	2.5542407046	3.9108346899
157	0.0812915688	0.1841821259	0.1050931717	0.1270812421	0.7175769924	0.6082756759
158	0.5295496064	1.2618741413	1.919594789	1.1260462991	0.7359707292	0.9981658532
159	0.317092637	0.6889337719	0.5143846871	0.4248351014	0.4267771238	0.3706650769
160	0.0320309578	0.0182595556	0.0802053385	0.0671511745	0.0503223255	0.0624623749
161	0.1742006379	0.0804499688	0.0429471889	0.027550263	0.0323733655	0.0388397922
162	0.4429401372	0.603040845	0.9118040155	0.5798560438	0.3987245026	0.6188371404
163	0.1194567298	0.0912350803	0.1264642024	0.118131998	0.1500145618	0.1658140022
164	0.3352048552	0.3055561152	0.30067488	0.1993914474	0.2022390428	0.2771978252
165	0.3291029197	0.6646406942	0.4747780034	0.1286896347	0.1817070159	0.2303865859
166	11.9221350751	1.4981611699	0.9698569385	2.1823616819	3.3139860236	3.1643144122
