source	t0	t1	t2	t3	t4	t5
COPEB	0.84755181	0.60780429	0.10101109	0.35744609	0.3126986	0.20130958
ELK1	0.27926244	0.36091434	0.8643227	0.78906725	0.75047373	0.80113241
GATA3	0.12129711	0.18500096	0.18905765	0.43437456	0.92413721	0.926921
IRF4	0.01497435	0.89828479	0.37586969	0.28739512	0.39970242	0.27465201
JUN	0.71227151	0.09151806	0.00650828	0.08100211	0.09890351	0.07175582
MAF	0.19209701	0.38961926	0.19168786	0.5952785	0.8360138	0.52553698
MYB	0.16338887	0.38389275	0.12030986	0.25188838	0.79076954	0.89152337
NFATC3	0.91144362	0.70283407	0.48453074	0.57702816	0.62322993	0.780118
NFKB1	0.22570961	0.86237447	0.32244675	0.23590154	0.16907567	0.14838055
RELA	0.50921231	0.95036049	0.41441751	0.38263794	0.41212699	0.38717468
STAT3	0.27137205	0.95116824	0.32957999	0.50897068	0.50738682	0.4390085
USF2	0.90568525	0.25803052	0.51232269	0.53960569	0.52744128	0.49429372
