source	t0	t1	t2	t3	t4	t5
COPEB	0.276629878	0.276087104	0.047714629	0.172735529	0.185393262	0.084214242
ELK1	0.004634059	0.008937489	0.01657895	0.011636348	0.014892799	0.020284283
GATA3	0.158868333	0.252933342	0.230469243	0.55184322	1.233723173	1.294280958
IRF4	0.139583514	6.778229732	2.543689443	1.791996811	2.846904067	2.44538159
JUN	0.723505915	0.146769489	0.008706931	0.131670673	0.14656131	0.071646297
MAF	0.258470922	0.496631853	0.243475444	0.488754697	0.745596523	0.436841252
MYB	0.437757944	2.434456407	0.485883981	0.866097282	2.255076386	3.247088591
NFATC3	0.239218208	0.161214081	0.123240958	0.143627343	0.151357229	0.18655053
NFKB1	1.052146439	4.64436298	1.819769994	1.245834187	0.850550837	0.811860027
RELA	0.371574696	0.670436503	0.303441113	0.279841421	0.298045237	0.250598839
STAT3	0.124317114	0.42098142	0.153057317	0.22522363	0.234281622	0.166573546
USF2	1.095134373	0.315143353	0.602469614	0.626805449	0.588668747	0.567240733
