source	COPEB	ELK1	GATA3	IRF4	JUN	MAF	MYB	NFATC3	NFKB1	RELA	STAT3	USF2
A1BG	1	1	1	1	1	1	1	1	1	1	1	1
NAT1	0	0	0	0	1	0	0	0	0	0	0	0
AAMP	0	0	0	0	0	0	0	1	0	0	0	0
AANAT	0	0	0	0	0	0	0	1	0	0	0	0
AARS	0	1	0	0	0	0	0	0	0	0	0	0
ABAT	0	0	0	0	0	0	0	1	0	0	0	0
ABCA3	1	1	1	1	1	1	1	1	1	1	1	1
ABCB7	1	1	1	1	1	1	1	1	1	1	1	1
ABCF1	0	0	1	0	0	0	0	0	0	0	0	0
ABL1	1	0	0	0	0	0	0	0	0	0	0	1
ABL2	1	1	0	0	1	0	0	1	0	0	0	1
ABR	1	0	0	0	0	0	1	1	0	1	0	0
ACAA1	1	0	0	0	0	0	0	0	0	0	0	0
ACADM	0	0	0	0	0	0	0	0	0	0	0	1
ACADS	0	0	1	0	0	0	1	0	1	0	0	1
ACADSB	1	1	1	1	1	1	1	1	1	1	1	1
ACADVL	1	1	1	1	1	1	1	1	1	1	1	1
ACAT1	1	1	1	1	1	1	1	1	1	1	1	1
ACAT2	1	1	1	1	1	1	1	1	1	1	1	1
ACCN2	1	1	1	1	1	1	1	1	1	1	1	1
ACO1	1	1	1	1	1	1	1	1	1	1	1	1
ACO2	0	0	0	0	0	0	0	1	0	0	0	0
ACOX1	0	0	0	0	1	0	0	0	0	0	0	0
ACP1	1	1	1	1	1	1	1	1	1	1	1	1
ACP2	1	1	1	1	1	1	1	1	1	1	1	1
ACP5	1	0	0	0	0	0	0	0	0	0	0	0
ACTB	0	0	0	0	1	0	1	1	0	0	0	1
ACTC1	0	0	0	0	0	0	0	0	1	0	0	0
ACTG1	0	0	1	1	0	0	0	1	0	1	0	0
ACTG2	0	0	0	0	1	0	0	1	0	0	0	0
ACTN4	1	0	0	0	0	0	1	1	0	0	0	1
ACTL6A	1	1	1	1	1	1	1	1	1	1	1	1
ACTN1	1	1	1	0	0	0	0	1	1	0	0	0
ACVR1	1	0	1	1	1	0	1	1	0	0	1	1
ACVR1B	0	0	0	0	0	0	0	1	0	0	0	0
ACVR2B	1	1	1	1	1	1	1	1	1	1	1	1
ACY1	1	1	1	1	1	1	1	1	1	1	1	1
ACYP1	0	0	0	1	0	0	0	0	0	0	0	0
ACYP2	0	1	1	1	1	0	0	0	1	0	0	1
ADA	0	0	0	1	1	0	0	0	0	0	0	0
ADAM8	0	0	0	0	0	0	0	1	0	0	0	1
ADAM10	1	1	1	0	1	0	0	0	0	0	0	1
ADAR	0	0	0	0	1	0	0	1	0	0	0	0
ADARB1	1	1	1	1	0	1	0	1	0	0	0	1
ADCY3	1	1	1	1	1	1	1	1	1	1	1	1
ADCY7	0	1	0	0	0	0	0	1	0	0	0	1
ADCY9	0	0	0	0	0	0	0	0	0	1	1	0
ADD1	0	0	0	0	1	0	0	0	0	0	0	1
