COPEB	ELK1	GATA3	IRF4	JUN	MAF	MYB	NFATC3	NFKB1	RELA	STAT3	USF2	t_start	t_end
-0.0629644617	-0.1035180295	-0.0112601119	0.0103334015	0.3859149412	0.0130570305	-0.1441885405	-0.0808186785	0.9399556184	0.005624784	-0.4662825839	-0.0379249061	0	24
-0.0038724084	-0.7818323116	-0.1000591095	-0.0455647663	-0.1638560991	-0.324003956	-0.0544766308	-0.1619271702	-0.3490248992	0.010722573	-0.3401073993	0.0031401414	0	24
0.0147517671	-0.637667549	-0.0695949312	4.17047852598884E-05	-0.6423066425	-0.6154188712	-0.1622567057	-0.6477685304	0.4598861273	0.0095704966	0.3147883043	0.0140478053	0	24
-0.0238792986	-0.6529934073	-0.0321850066	-0.1476891078	-0.2928661408	-0.7161509754	-0.0511795437	-0.4112728608	-0.4788957067	-0.0154198311	-0.9862787481	-0.0234082014	0	12
0.038232274	-0.8529490474	0.0027491605	0.0251835616	-0.9084812604	-0.8344422887	-0.1978947713	-0.8473469713	0.9238969091	0.017161779	-0.2494894609	-0.0023359418	0	24
-0.0125789429	2	0.2004712522	0.0012383104	1.8785724651	-0.9976028969	-0.0233673305	2	-0.9915462524	-0.0141599389	-0.99680704	-0.015761712	0	24
0.0323985401	-0.9860915978	-0.0167802414	0.0325377212	-0.9848652295	-0.9833440976	-0.446087142	0.1576138484	2	0.003852164	-0.8528042386	0.0161126288	0	24
-0.0507377794	-0.0963867345	-0.0086084136	0.0241929126	0.0002034083	0.094559108	0.0265625177	-0.7809279258	-0.1021422178	0.0018180744	-0.0933482485	-0.0465066869	0	24
-0.0032108286	-0.6429933146	0.0212260688	0.0007126854	-0.9992670163	-0.8346389607	-0.0602799738	-0.9988937581	-0.1930684839	0.0051805297	-0.0759845482	-0.015773189	0	24
-0.0240987917	2	-0.0039218316	-0.0111801189	-0.2181167508	2	-0.0210121969	2	0.304260594	-0.0872849545	-0.2087589454	-0.0300408151	0	24
-0.0404039841	-0.3845582384	-0.0437275254	-0.0013729851	-0.3433456756	-0.2893249081	-0.0573395605	-0.3646778651	0.087899435	-5.76073636933128E-05	-0.6896255121	-0.0426740345	0	24
-0.0158647818	-0.445875301	0.0066508765	-0.0331297721	0.2022084916	-0.3882980613	0.0141090022	-0.9890024266	-0.3461670792	0.0004048827	2	-0.094709504	0	24
