source	COPEB	ELK1	GATA3	IRF4	JUN	MAF	MYB	NFATC3	NFKB1	RELA	STAT3	USF2
A1BG	-0.01178972880395	-0.25129027065602	-0.002909758561651	0.001903352492788	-0.295443817406295	-0.28807351297177	-0.125553519192319	-0.345834338380763	-0.257813371148916	-0.001078317331812	0.099501671159699	0.021211120634194
NAT1	0.020323852265919	0.691536584477118	-0.030557498302911	-0.006190955232684	0.836325104856961	1.03637930648253	-0.021849871255929	0.70378234377952	-0.260000600243209	-0.028428555977798	0.012093581327854	0.029096709747787
AAMP	-0.013384587529503	-0.007815709491079	-0.029479037018848	0.00198248724098	2	2	0.021505917842582	0.017970657708632	2	0.009119463667544	0.012448799129306	-0.013560398446243
AANAT	0.133841790567921	-0.930258255420952	-0.266421429508223	-0.003114628929932	-0.953842064634082	-0.937871114458633	0.16358158036492	-0.904490078901971	-0.878089307805756	0.007549796820688	-0.461854522003709	0.102227263219738
AARS	-0.061812014570268	0.120752202287296	0.004698551058592	0.001709415374739	-0.015294447177278	-0.071439999156305	-0.060030452371935	0.007070577825927	0.068503565025659	0.005494944911609	-0.202943428205018	-0.042231845631792
ABAT	0.010689918177338	-0.33819481429096	-0.104869935785108	0.029210067881221	-0.31026268076029	-0.314653043718493	-0.082071648750347	-0.340332208750948	-0.012415032609845	0.013855800196529	0.069298251150601	0.025905666518588
ABCA3	-0.024650258508258	0.366889039416214	0.330806402433802	-0.031874028934785	0.601944762687289	0.524425227911426	0.165617284906378	0.364360266100755	-0.191564537338219	-0.019713675286098	-0.009107683800229	-0.017804045103912
ABCB7	-0.000963461168395	-0.108973814803915	0.042893688622186	-0.003079823285878	-0.105040062567077	-0.144356123772761	0.017023760972369	-0.116446735443703	2	0.00499613979046	-0.016889606088008	0.001648255533726
ABCF1	-0.017377887081568	0.173578831104046	-0.011204205734534	0.001007578651409	-0.996306258073498	-0.991639493705846	0.016189184283455	0.781638987358542	1.11485576566829	-0.005391040378486	1.44620208032225	-0.013148192146671
ABL1	-0.010106707816475	0.272952613391147	0.054244903236301	-0.01396743684876	0.264971043588025	0.247260049853257	0.04209553939595	0.230651651242638	0.080519075308024	0.005088438385697	0.09503579185338	-0.002128127112215
ABL2	-0.008382110250602	-0.076852760368584	0.052183535137544	0.023590357096956	-0.052191987232745	-0.117248657419551	-0.006427122942998	-0.008844792114152	0.034902528031103	0.010793829185447	-0.065133553975404	-0.019291956262116
ABR	-0.016642621120852	-0.988149536867405	0.012138593421818	-0.011375579433844	1.60884369924778	2	0.08502090502253	2	-0.992862526973825	-0.00506346260637	-0.990833661347139	-0.004931050190615
ACAA1	0.015174195887334	-0.639178115460156	-0.070928209648095	0.009033323682557	-0.421444824169095	-0.14820855535148	-0.029337944236598	-0.550469355843209	-0.402461511875139	-0.010931557890283	-0.997496341168942	0.026623844626284
ACADM	0.020377190603417	2	0.055426458131656	-0.008447260338458	0.17146609136708	0.225690549829681	0.103497081685638	0.088633417417159	-0.262199538151186	-0.011413464951057	0.151884589024369	0.016919043176621
ACADS	-0.052476735329227	0.503073471314986	0.311797889890143	0.020904515156239	0.476154311962951	0.399339833773845	0.286476880286738	0.375223316825515	-0.292406689024128	-0.208994800172991	-0.079036574740628	-0.027303009225297
ACADSB	-0.025147240451612	2	-0.005218806105751	0.008411566561667	0.034979228093127	2	0.035421390304463	-0.001352108759301	2	-0.009358546894653	0.047156556836592	-0.019986640849638
ACADVL	-0.013777523480233	-0.754368111980515	-0.019493215278983	-0.022013671739263	-0.998304132604509	-0.998265751472663	0.000972844116262	-0.284594067123481	-0.38815320057151	-0.001046986644074	-0.991982922156117	-0.011145201053166
ACAT1	0.020248654316672	0.198795443610119	0.006808013570853	0.010591528177947	2	0.330134542640103	0.018866223521463	2	2	-0.014504599830774	0.080460855393877	0.025918575958065
ACAT2	0.018210885153696	-0.986283622956502	0.014602565686342	0.001338859268335	2	2	0.129288560441176	-0.985731817015195	-0.995248946909722	-0.022078337055773	-0.965496920422698	0.024645660130714
ACCN2	0.011271442710421	0.433270779174012	0.119162482359408	0.022399707983028	0.284260273112884	0.340878933486046	-0.007246239205008	0.396670853146635	-0.433886360306718	-0.034447732689067	0.496262376616482	0.028816732562911
ACO1	-0.016325561069111	-0.206050926650519	-0.057443409568909	-0.023353376632336	-0.247857749843942	-0.144131112113687	0.092286810425757	-0.204323267830622	-0.177565574808862	-0.014535108341794	-0.054052767934658	-0.000806985103106
ACO2	0.000655614767327	2	-0.023461011639205	-0.00257966037117	-0.989087674510586	2	-0.012295862993082	2	0.981921330874744	-0.000182423951579	-0.979817410391433	-0.004600270940307
ACOX1	0.026775823309944	-0.996262940868121	0.004755837056362	-0.001448867753886	-0.996145078028041	-0.996304785172322	0.010095842744577	-0.996547767061209	-0.997200988051022	-0.01702004345509	-0.995836340353531	0.018041972642755
ACP1	-0.001669896872297	0.086124668993794	-0.03087377106309	0.009607585609767	-0.99511202380403	-0.994873676656498	-0.030812456904243	-0.765276884958101	-0.992882072015444	0.031996070927882	-0.195429808862891	-0.005043343770852
ACP2	-0.026471559932176	0.015448452197177	-0.073754324138512	-0.059931522510787	0.114956992086153	0.082522125673677	-0.076651122047869	0.164198724928845	-0.022110399699963	0.011095940998137	2	-0.025528472454874
ACP5	-0.082986030020567	2	-0.00346519052588	-0.042306734415575	2	2	-0.022984591579855	2	-0.481588050057807	-0.027783592571771	-0.277627818159013	-0.03912094317818
ACTB	-0.004928049434641	-0.903378681687492	0.067073533356174	-0.006381843226926	-0.813402599640817	-0.862797213023942	0.014453441688451	-0.847828558645112	-0.946227642833042	-0.000725248340363	-0.878244948246136	-0.00329045699165
ACTC1	-0.027124691753525	0.039261423826422	0.397630356378576	0.020752185645828	-0.006787528501861	0.098577022541148	0.184347879826633	-0.011548259528012	0.051411305422737	-0.017660121252124	-0.009438321682905	0.010473594324781
ACTG1	-0.036686668044785	1.88654384396318	0.068919906982743	-0.008980290244988	2	2	0.1383938810269	2	1.44662074959523	-0.003840777805346	1.28619011106272	-0.027123259128166
ACTG2	-0.083932435474197	-0.378058336640383	0.017388814401593	0.126669283753105	-0.396390187018399	-0.242085923596654	0.4540999212737	-0.280465442054351	-0.252311234606811	-0.080226191749609	0.219246175723082	-0.004694607880113
ACTN4	0.016159490399749	0.425933780005809	0.075695819727525	0.009346573128629	2	0.301388472337692	0.114610755415146	2	-0.17159881611756	-0.005484717454113	0.233728353769566	0.011023187652735
ACTL6A	-0.00297991341061	-0.020511072533009	-0.040525844960399	-0.006137665874068	-0.996710884933733	-0.996453831691318	0.011902744357057	-0.996772458903228	-0.996952843451295	-0.001337036847542	0.749769110933666	0.000856371136976
ACTN1	0.012173604286904	0.427414664374831	0.031911109653391	-0.04163996102245	0.550631787920895	2	-0.020621516209401	0.457233436774867	-0.48044786796811	-0.017304572132178	0.711517806085594	0.020617292735232
ACVR1	-0.053010744164331	0.506253613205495	0.014197858513891	-0.010158577856968	2	0.68343998207761	-0.123417118024434	2	-0.070285764446583	-0.012148702643492	-0.102581647636198	-0.058740688545893
ACVR1B	0.024475001444958	-0.022712909759437	1.31279075770983	0.0706494160752	0.073637514117294	-0.193547316379165	0.150670259957676	0.111659390651657	-0.059044870872724	0.140604507235672	0.096866408538428	-0.053856538639551
ACVR2B	0.031450432135387	-0.342061477326203	-0.006879981988192	-0.011564320097764	-0.352982924912521	-0.189562457603353	0.057821215584289	-0.246836001838362	0.065244558426725	0.002730050458407	0.026532153473292	0.021412930493013
ACY1	-0.001382568096704	0.577302118499174	-0.034507633177982	-0.021499377194487	0.387520404456114	0.223873121741073	0.073166756804527	0.515123101185724	-0.176047587957453	-0.008735715128994	0.278599828196733	0.009431042916114
ACYP1	-0.000173144155592	0.077878023237768	0.004886434097467	0.008198229182609	0.021817241682346	0.093314032275558	0.093163955463201	2	2	-0.020367719593827	0.136573296081442	0.001955397092114
